scientificName,year,n,cumulative
"Melissodes persimilis Cockerell, 1949",1919,1,4791
"Nomada semiscita Cockerell, 1904",1919,1,4792
"Trigonisca duckei (Friese, 1900)",1919,1,4793
"Chalepogenus subcaeruleus Roig-Alsina, 1999",1919,1,4794
"Sphecodes granulosus Sichel, 1865",1919,1,4795
"Stictonomia megacantha (Cockerell, 1916)",1919,1,4796
"Sphecodes fattigi Mitchell, 1956",1919,1,4797
"Lasioglossum bowkeri (Cockerell, 1920)",1919,1,4798
"Patellapis zacephala (Cockerell, 1937)",1919,1,4799
"Lasioglossum michaelseni (Friese, 1916)",1919,1,4800
"Ruginomia rugiventris (Friese, 1930)",1919,1,4801
"Lasioglossum namaense (Friese, 1909)",1919,1,4802
"Perdita nebrascensis Swenk and Cockerell, 1907",1919,1,4803
"Liphanthus alicahue Ruz and Toro, 1983",1919,1,4804
"Andrena santaclarae Ribble, 1974",1919,1,4805
"Hylaeus granulatus (Metz, 1911)",1919,1,4806
"Colletes covilleae Timberlake, 1951",1919,1,4807
"Euryglossula chalcosoma (Cockerell, 1913)",1919,1,4808
"Leioproctus huakiwi Donovan, 2007",1919,1,4809
"Colletes patagonicus Schrottky, 1907",1919,1,4810
"Palaeorhiza disrupta Cockerell, 1914",1919,1,4811
"Scrapter basutorum (Cockerell, 1915)",1919,1,4812
"Megachile ciliatipes Cockerell, 1921",1919,1,4813
"Megachile quinquelineata Cockerell, 1906",1919,1,4814
"Megachile gilbertiella Cockerell, 1910",1919,1,4815
"Megachile karooensis (Brauns, 1912)",1919,1,4816
"Pachyanthidium cucullatum (Friese, 1904)",1919,1,4817
"Plesianthidium trachusiforme (Friese, 1913)",1919,1,4818
"Coelioxys tenebrosus Pasteels, 1968",1919,1,4819
"Osmia sanrafaelae Parker, 1985",1919,1,4820
"Osmia pagosa Sandhouse, 1939",1919,1,4821
"Megachile pseudofulva (Pasteels, 1965)",1919,1,4822
"Serapista rufipes (Friese, 1904)",1919,1,4823
"Megachile murina Friese, 1913",1919,1,4824
"Aspidosmia arnoldi (Brauns, 1926)",1919,1,4825
"Lithurgus chrysurus Fonscolombe, 1834",1919,1,4826
"Coelioxys planidens Friese, 1904",1919,1,4827
"Megachile hilli Cockerell, 1929",1919,1,4828
"Plesianthidium rufocaudatum (Friese, 1909)",1919,1,4829
"Megachile willowmorensis Brauns, 1926",1919,1,4830
"Perdita heliophila Cockerell, 1916",1919,1,4831
"Andrena gibberis Viereck, 1924",1919,1,4832
"Paratrigona lineata (Lepeletier, 1836)",1919,1,4833
"Austronomia babindensis (Cockerell, 1930)",1919,1,4834
"Eufriesea eburneocincta (Kimsey, 1977)",1919,1,4835
"Hylaeus gracillimus (Schrottky, 1902)",1919,1,4836
"Hylaeus hydrophilus (Schrottky, 1906)",1919,1,4837
"Xylocopa tenuata Smith, 1874",1919,1,4838
"Xylocopa mcgregori Cockerell, 1920",1919,1,4839
"Xylocopa nigrocincta Smith, 1854",1919,1,4840
"Braunsapis somatotheca (Strand, 1915)",1919,1,4841
"Trigona branneri Cockerell, 1912",1919,1,4842
"Xylocopa simillima Smith, 1854",1919,1,4843
"Anthophora albosignata (Friese, 1896)",1919,1,4844
"Scaura latitarsis (Friese, 1900)",1919,1,4845
"Nomada maculifrons Smith, 1869",1919,1,4846
"Ceratina vernoniae Schrottky, 1920",1919,1,4847
"Partamona testacea (Klug, 1807)",1919,1,4848
"Bombus sonani (Frison, 1934)",1919,1,4849
"Lasioglossum murrayi (Cockerell, 1905)",1919,1,4850
"Nomia aurantifer Cockerell, 1910",1919,1,4851
"Augochloropsis cleopatra (Schrottky, 1902)",1919,1,4852
"Lasioglossum redivivum (Blüthgen, 1928)",1919,1,4853
"Perdita atriventris Timberlake, 1960",1919,1,4854
"Andrena vulpecula Kriechbaumer, 1873",1919,1,4855
"Hylaeus nivicola Meade-Waldo, 1923",1919,1,4856
"Megachile pseudomonticola Hedicke, 1925",1919,1,4857
"Megachile rufovittata Cockerell, 1911",1919,1,4858
"Andrena aegyptiaca Friese, 1899",1919,1,4859
"Paratrigona peltata (Spinola, 1853)",1919,1,4860
"Euglossa macrorhyncha Dressler, 1982",1919,1,4861
"Nomada zebrata Cresson, 1878",1919,1,4862
"Ancyloscelis sejuncta Cockerell, 1933",1919,1,4863
"Nannotrigona dutrae (Friese, 1901)",1919,1,4864
"Lasioglossum ovaliceps (Cockerell, 1898)",1919,1,4865
"Lasioglossum prasinogaster Gibbs, 2010",1919,1,4866
"Coelioxys mesae Cockerell, 1921",1919,1,4867
"Megachile bruneri Mitchell, 1934",1919,1,4868
"Nomada bakeri Cockerell, 1915",1919,1,4869
"Protandrena irregularis (Cockerell, 1922)",1919,1,4870
"Protandrena altissima (Cockerell, 1922)",1919,1,4871
"Ashmeadiella lutzi (Cockerell, 1930)",1919,1,4872
"Atoposmia abjecta (Cresson, 1878)",1919,1,4873
"Aageocolletes cyaneorufus (Cockerell, 1930)",1920,1,4874
"Melissodes moorei Cockerell, 1926",1920,1,4875
"Trigonisca ceophloei (Schwarz, 1938)",1920,1,4876
"Eucera phaceliae (Cockerell, 1911)",1920,1,4877
"Eucera acerba (Cresson, 1879)",1920,1,4878
"Diadasia lutzi Cockerell, 1924",1920,1,4879
"Geotrigona fulvohirta (Friese, 1900)",1920,1,4880
"Mesonychium jenseni (Friese, 1906)",1920,1,4881
"Melipona grandis Guérin-Méneville, 1845",1920,1,4882
"Neolarra verbesinae (Cockerell, 1895)",1920,1,4883
"Triepeolus lusor Cockerell, 1925",1920,1,4884
"Eucera fulvitarsis (Cresson, 1878)",1920,1,4885
"Lasioglossum paululum (Sandhouse, 1924)",1920,1,4886
"Sphecodes arvensiformis Cockerell, 1904",1920,1,4887
"Sphecodes pecosensis Cockerell, 1904",1920,1,4888
"Dufourea vanduzeei Bohart, 1947",1920,1,4889
"Lasioglossum diloloense (Cockerell, 1937)",1920,1,4890
"Lasioglossum maunga Donovan, 2007",1920,1,4891
"Lasioglossum michaelinum (Cockerell, 1946)",1920,1,4892
"Lasioglossum absimile (Sandhouse, 1924)",1920,1,4893
"Nomia howardi Crawford, 1911",1920,1,4894
"Dufourea afasciata Bohart, 1948",1920,1,4895
"Lasioglossum taurinum (Cockerell, 1945)",1920,1,4896
"Sphecodes chilensis Spinola, 1851",1920,1,4897
"Lipotriches meadewaldoi (Brauns, 1912)",1920,1,4898
"Patellapis pearsoni (Cockerell, 1933)",1920,1,4899
"Rophites canus Eversmann, 1852",1920,1,4900
"Andrena sulcata Donovan, 1977",1920,1,4901
"Liphanthus unifasciatus Ruz and Toro, 1983",1920,1,4902
"Andrena plebeia LaBerge, 1986",1920,1,4903
"Perdita wilmattae Cockerell, 1906",1920,1,4904
"Andrena alutacea Stoeckhert, 1942",1920,1,4905
"Liphanthus parvulus (Friese, 1916)",1920,1,4906
"Panurginus labiatus (Eversmann, 1852)",1920,1,4907
"Osmia caulicola Cockerell, 1934",1920,1,4908
"Hylaeus capitosus (Smith, 1876)",1920,1,4909
"Chilicola xanthognatha Michener, 2002",1920,1,4910
"Colletes missionum Cockerell, 1932",1920,1,4911
"Colletes ruficollis Friese, 1925",1920,1,4912
"Colletes microdontus Cockerell, 1937",1920,1,4913
"Chilicola brzoskai Michener, 2002",1920,1,4914
"Scrapter leonis Cockerell, 1934",1920,1,4915
"Chilicola pedunculata Michener, 2002",1920,1,4916
"Megachile candida Smith, 1879",1920,1,4917
"Megachile kartaboensis Mitchell, 1930",1920,1,4918
"Megachile albopilosa Friese, 1916",1920,1,4919
"Hoplitis sambuci Titus, 1904",1920,1,4920
"Stelis subemarginata Cresson, 1878",1920,1,4921
"Hoplitis jacintana (Cockerell, 1910)",1920,1,4922
"Ashmeadiella salviae Michener, 1939",1920,1,4923
"Hoplitis similis (Friese, 1909)",1920,1,4924
"Noteriades argentata (Gerstäcker, 1857)",1920,1,4925
"Megachile aurifera Cockerell, 1935",1920,1,4926
"Coelioxys lanceolatus Nylander, 1852",1920,1,4927
"Perdita robustula Timberlake, 1956",1920,1,4928
"Xylocopa ruficollis Hurd and Moure, 1963",1920,1,4929
"Melissodes ecuadorius Bertoni and Schrottky, 1910",1920,1,4930
"Lasioglossum obscurifrons (Cockerell, 1945)",1920,1,4931
"Lasioglossum mesogonus (Cockerell, 1945)",1920,1,4932
"Paratetrapedia basilaris Aguiar and Melo, 2011",1920,1,4933
"Melissodes bruneri (Cockerell, 1918)",1920,1,4934
"Melissodes colliciatus Cockerell, 1910",1920,1,4935
"Melissodes tintinnans (Holmberg, 1884)",1920,1,4936
"Osiris paraensis Friese, 1930",1920,1,4937
"Lasioglossum sitocleptum Gibbs, 2010",1920,1,4938
"Megachile lobitarsis Smith, 1879",1920,1,4939
"Odontocolletes nomiaeformis (Cockerell, 1930)",1920,1,4940
"Sphecodopsis minutissima (Cockerell, 1933)",1920,1,4941
"Anthophora semirufa (Friese, 1898)",1920,1,4942
"Xylocopa similis Smith, 1874",1920,1,4943
"Eufriesea schmidtiana (Friese, 1925)",1920,1,4944
"Xylocopa lateralis Say, 1837",1920,1,4945
"Exaerete trochanterica (Friese, 1900)",1920,1,4946
"Braunsapis clarihirta Reyes, 1991",1920,1,4947
"Xylocopa kerri (Cockerell, 1929)",1920,1,4948
"Nomada xanthopus Friese, 1921",1920,1,4949
"Austronomia philippinensis (Cockerell, 1915)",1920,1,4950
"Meganomia binghami (Cockerell, 1909)",1920,1,4951
"Andrena murreensis Cockerell, 1923",1920,1,4952
"Hypanthidium dressleri Urban, 1998",1920,1,4953
"Scrapter absonus Eardley, 1996",1920,1,4954
"Megachile fullawayi Cockerell, 1914",1920,1,4955
"Megachile trichorhytisma Engel, 2006",1920,1,4956
"Euryglossidia australiensis (Dalla Torre, 1896)",1920,1,4957
"Ptilotrigona pereneae (Schwarz, 1943)",1920,1,4958
"Hylaeus cookii (Metz, 1911)",1920,1,4959
"Nomada heterosticta Cockerell, 1921",1920,1,4960
"Xylocopa metallica Smith, 1874",1920,1,4961
"Melipona peruviana Friese, 1900",1920,1,4962
"Arhysoceble picta (Friese, 1899)",1920,1,4963
"Melissodes foxi Crawford, 1915",1920,1,4964
"Lasioglossum pallidellum (Ellis, 1914)",1920,1,4965
"Lasioglossum ebmerellum Gibbs, 2010",1920,1,4966
"Lasioglossum albohirtum (Crawford, 1907)",1920,1,4967
"Lipotriches ethioparca (Cockerell, 1935)",1920,1,4968
"Megachile sublaurita Mitchell, 1927",1920,1,4969
"Coelioxys puncticollis Friese, 1922",1920,1,4970
"Coelioxys albifrons Friese, 1917",1920,1,4971
"Coelioxys confusus Smith, 1875",1920,1,4972
"Augochlora holti Cockerell, 1927",1920,1,4973
"Protandrena lutzae (Cockerell, 1922)",1920,1,4974
"Megachile nudiventris Smith, 1853",1920,1,4975
"Scrapter capensis (Friese, 1909)",1920,1,4976
"Scrapter bicolor Lepeletier and Audinet-Serville, 1828",1920,1,4977
"Augochloropsis viridilustrans (Cockerell, 1927)",1920,1,4978
"Leiopodus singularis (Linsley and Michener, 1937)",1921,1,4979
"Exoneura hamulata Cockerell, 1905",1921,1,4980
"Lasioglossum expansifrons (Cockerell, 1914)",1921,1,4981
"Centris pallida Fox, 1899",1921,1,4982
"Centris tiburonensis Cockerell, 1923",1921,1,4983
"Centris vanduzeei Cockerell, 1923",1921,1,4984
"Amegilla pendleburyi (Cockerell, 1929)",1921,1,4985
"Nomada grayi Cockerell, 1903",1921,1,4986
"Bombus religiosus (Frison, 1935)",1921,1,4987
"Nomada symphyti Stoeckhert, 1930",1921,1,4988
"Tetraloniella nana (Morawitz, 1874)",1921,1,4989
"Augochlora azteca (Vachal, 1911)",1921,1,4990
"Lipotriches inaequalis (Friese, 1931)",1921,1,4991
"Lasioglossum pachyurum (Cockerell, 1937)",1921,1,4992
"Lipotriches langi (Cockerell, 1932)",1921,1,4993
"Lasioglossum kabindiellum (Cockerell, 1945)",1921,1,4994
"Halictus lutescens Friese, 1921",1921,1,4995
"Macronomia lubumbashica (Cockerell, 1943)",1921,1,4996
"Lipotriches cincticauda (Cockerell, 1943)",1921,1,4997
"Afronomia pallidibasis (Cockerell, 1936)",1921,1,4998
"Macrotera opuntiae (Cockerell, 1922)",1921,1,4999
"Perdita cleomellae Cockerell, 1925",1921,1,5000
"Andrena linsleyi Timberlake, 1937",1921,1,5001
"Andrena portosanctana Cockerell, 1922",1921,1,5002
"Andrena granulosa Pérez, 1902",1921,1,5003
"Andrena spolata Warncke, 1968",1921,1,5004
"Hylaeus laetus (Perkins, 1899)",1921,1,5005
"Colletes perileucus Cockerell, 1924",1921,1,5006
"Hylaeus calvus (Metz, 1911)",1921,1,5007
"Anthidium atripes Cresson, 1879",1921,1,5008
"Ashmeadiella cubiceps (Cresson, 1879)",1921,1,5009
"Osmia giffardi Sandhouse, 1939",1921,1,5010
"Atoposmia elongata (Michener, 1936)",1921,1,5011
"Megachile semota Cockerell, 1927",1921,1,5012
"Megachile bispinosa Friese, 1921",1921,1,5013
"Anthodioctes callorhinum (Cockerell, 1927)",1921,1,5014
"Ashmeadiella australis (Cockerell, 1902)",1921,1,5015
"Megachile sejuncta Cockerell, 1927",1921,1,5016
"Megachile leucostomella Cockerell, 1927",1921,1,5017
"Perdita luteiceps Cockerell, 1896",1921,1,5018
"Andrena reflexa Cresson, 1872",1921,1,5019
"Euglossa dilemma Bembé and Eltz, 2011",1921,1,5020
"Nomada annulata Smith, 1854",1921,1,5021
"Melissodes fimbriatus Cresson, 1878",1921,1,5022
"Geotrigona fulvatra Camargo and Moure, 1996",1921,1,5023
"Colletes albocinctus Cockerell, 1924",1921,1,5024
"Lasioglossum epichlorops (Cockerell, 1946)",1921,1,5025
"Hylaeus aztecus (Cresson, 1869)",1921,1,5026
"Zikanapis zikani (Friese, 1925)",1921,1,5027
"Colletes mulegensis Cockerell, 1924",1921,1,5028
"Colletes profectus Cockerell, 1924",1921,1,5029
"Augochlora transversalis Sandhouse and Cockerell, 1924",1921,1,5030
"Lasioglossum marinense (Michener, 1936)",1921,1,5031
"Lasioglossum raleighense (Crawford, 1932)",1921,1,5032
"Anthodioctes quadrimaculatus (Cockerell, 1927)",1921,1,5033
"Anthidiellum eiseni (Cockerell, 1913)",1921,1,5034
"Habropoda imitatrix Lieftinck, 1974",1921,1,5035
"Xylocopa lucida Smith, 1874",1921,1,5036
"Paratetrapedia duckei (Friese, 1910)",1921,1,5037
"Epeolus tibetanus Meade-Waldo, 1913",1921,1,5038
"Thyreus centrimacula (Pérez, 1905)",1921,1,5039
"Cephalotrigona zexmeniae (Cockerell, 1912)",1921,1,5040
"Amegilla sesquicincta (Erichson, 1842)",1921,1,5041
"Elaphropoda percarinata (Cockerell, 1930)",1921,1,5042
"Partamona peckolti (Friese, 1901)",1921,1,5043
"Florilegus fulvipes (Smith, 1854)",1921,1,5044
"Lasioglossum vulcanicum (Blüthgen, 1928)",1921,1,5045
"Nomia planiventris Friese, 1911",1921,1,5046
"Lasioglossum setulosum (Strand, 1909)",1921,1,5047
"Lasioglossum duckei (Alfken, 1909)",1921,1,5048
"Lasioglossum podolicum (Noskiewicz, 1925)",1921,1,5049
"Protandrena kansensis Timberlake, 1976",1921,1,5050
"Megachile okinawana Yasumatsu and Hirashima, 1964",1921,1,5051
"Hylaeus sonorensis Cockerell, 1924",1921,1,5052
"Hylaeus vachali Meade-Waldo, 1923",1921,1,5053
"Anthodioctes manni (Cockerell, 1927)",1921,1,5054
"Coelioxys alatiformis Friese, 1922",1921,1,5055
"Megachile exaltata Smith, 1853",1921,1,5056
"Megachile brasiliensis Dalla Torre, 1896",1921,1,5057
"Anthodioctes holmbergi (Cockerell, 1927)",1921,1,5058
"Coelioxys hiroba Nagase, 2003",1921,1,5059
"Megachile igniscopata Cockerell, 1911",1921,1,5060
"Anthodioctes undecimalis (Cockerell, 1927)",1921,1,5061
"Megachile microdontura Cockerell, 1927",1921,1,5062
"Megachile tricosa Cockerell, 1927",1921,1,5063
"Anthodioctes chrysurum (Cockerell, 1927)",1921,1,5064
"Icteranthidium grohmanni (Spinola, 1838)",1921,1,5065
"Stelis odontopyga Noskiewicz, 1926",1921,1,5066
"Melipona lunulata Friese, 1900",1921,1,5067
"Geotrigona tellurica Camargo and Moure, 1996",1921,1,5068
"Oxytrigona obscura (Friese, 1900)",1921,1,5069
"Melipona brachychaeta Moure, 1950",1921,1,5070
"Melipona boliviana Schwarz, 1932",1921,1,5071
"Nannotrigona melanocera (Schwarz, 1938)",1921,1,5072
"Melipona tumupasae Schwarz, 1932",1921,1,5073
"Tetragonisca weyrauchi (Schwarz, 1943)",1921,1,5074
"Lasioglossum katherineae Gibbs, 2011",1921,1,5075
"Lasioglossum timothyi Gibbs, 2010",1921,1,5076
"Lasioglossum subopacum (Smith, 1853)",1921,1,5077
"Andrena hypoleuca Cockerell, 1939",1921,1,5078
"Colletes michaelis Cockerell, 1936",1921,1,5079
"Megachile dinura Cockerell, 1911",1921,1,5080
"Sphecodes crassicornis Smith, 1879",1921,1,5081
"Bombus simillimus Smith, 1852",1921,1,5082
"Bombus bohemicus (Seidl, 1837)",1921,1,5083
"Charicolletes elegans (Smith, 1853)",1922,1,5084
"Trichocolletes fuscus Batley and Houston, 2012",1922,1,5085
"Hylaeus nigriconcavus (Houston, 1975)",1922,1,5086
"Leioproctus philonesus (Cockerell, 1929)",1922,1,5087
"Meroglossa sulcifrons (Smith, 1853)",1922,1,5088
"Thyreus lugubris (Smith, 1879)",1922,1,5089
"Rhinepeolus rufiventris (Friese, 1908)",1922,1,5090
"Epicharis metatarsalis Friese, 1899",1922,1,5091
"Anthophora linsleyi Timberlake, 1941",1922,1,5092
"Epeolus cestus Eardley, 1991",1922,1,5093
"Epimelissodes nitidus (LaBerge, 1956)",1922,1,5094
"Anthophora hilaris Smith, 1879",1922,1,5095
"Nomada rhodalis Cockerell, 1903",1922,1,5096
"Xenoglossa mustelina (Fox, 1893)",1922,1,5097
"Nomada sphaerogaster Cockerell, 1903",1922,1,5098
"Nomada vallesina Cockerell, 1906",1922,1,5099
"Thyreus lieftincki Rozen, 1969",1922,1,5100
"Ammobates vinctus Gerstäcker, 1869",1922,1,5101
"Parammobatodes minutus (Mocsáry, 1878)",1922,1,5102
"Bombus braccatus Friese, 1905",1922,1,5103
"Lasioglossum insolitum (Sandhouse, 1924)",1922,1,5104
"Lasioglossum corvinum (Morawitz, 1877)",1922,1,5105
"Lasioglossum discus (Smith, 1853)",1922,1,5106
"Andrena enslinella Stoeckhert, 1924",1922,1,5107
"Andrena pallitarsis Pérez, 1903",1922,1,5108
"Hylaeus maritimus Bridwell, 1919",1922,1,5109
"Megachile rubi Mitchell, 1924",1922,1,5110
"Trachusa pueblana Thorp and Brooks, 1994",1922,1,5111
"Hylaeus bidentatus (Smith, 1853)",1922,1,5112
"Chilicola transversaria Michener, 2002",1922,1,5113
"Caupolicana funebris Smith, 1879",1922,1,5114
"Caupolicana ruficollis Friese, 1906",1922,1,5115
"Trachusa larreae (Cockerell, 1897)",1922,1,5116
"Coelioxys vigilans Smith, 1879",1922,1,5117
"Megachile zaptlana Cresson, 1878",1922,1,5118
"Coelioxys banksi Crawford, 1914",1922,1,5119
"Andrena flandersi Timberlake, 1937",1922,1,5120
"Lasioglossum cattellae (Ellis, 1913)",1922,1,5121
"Lasioglossum wheeleri (Mitchell, 1960)",1922,1,5122
"Anthophora maculifrons Cresson, 1879",1922,1,5123
"Lasioglossum semiviride (Friese, 1909)",1922,1,5124
"Alepidosceles filitarsis (Vachal, 1904)",1922,1,5125
"Bombus hedini Bischoff, 1936",1922,1,5126
"Nomada okamotonis Matsumura, 1912",1922,1,5127
"Centris insularis Smith, 1874",1922,1,5128
"Nomada corcyraea Schmiedeknecht, 1882",1922,1,5129
"Ceratina chalcites Germar, 1839",1922,1,5130
"Ceratina callosa (Fabricius, 1794)",1922,1,5131
"Exomalopsis solitaria Brèthes, 1910",1922,1,5132
"Corynura cristata (Smith, 1853)",1922,1,5133
"Nomia callichlora Cockerell, 1911",1922,1,5134
"Callistochlora chloris (Spinola, 1851)",1922,1,5135
"Sphecodes nipponicus Yasumatsu and Hirashima, 1951",1922,1,5136
"Lasioglossum scitulum (Smith, 1873)",1922,1,5137
"Lasioglossum gorkiense (Blüthgen, 1931)",1922,1,5138
"Corynura herbsti (Alfken, 1913)",1922,1,5139
"Corynura corinogaster (Spinola, 1851)",1922,1,5140
"Andrena akitsushimae Tadauchi and Hirashima, 1984",1922,1,5141
"Melitta budensis (Mocsáry, 1878)",1922,1,5142
"Andrena incanescens Cockerell, 1923",1922,1,5143
"Andrena unicostata LaBerge, 1971",1922,1,5144
"Andrena fulminoides LaBerge, 1967",1922,1,5145
"Mourecotelles mixtus Toro and Cabezas, 1977",1922,1,5146
"Caupolicana lugubris Smith, 1879",1922,1,5147
"Anthodioctes nitidipes (Cockerell, 1927)",1922,1,5148
"Epanthidium sanguineum (Friese, 1908)",1922,1,5149
"Epanthidium bertonii (Schrottky, 1905)",1922,1,5150
"Megachile simillima Smith, 1853",1922,1,5151
"Coelioxys toltecoides Cockerell, 1923",1922,1,5152
"Osmia orientalis Benoist, 1929",1922,1,5153
"Coelioxys giacomellii Holmberg, 1916",1922,1,5154
"Megachile australis Lucas, 1876",1922,1,5155
"Megachile alopecura Cockerell, 1923",1922,1,5156
"Perdita keiferi Timberlake, 1928",1922,1,5157
"Lasioglossum trichopygus (Blüthgen, 1923)",1922,1,5158
"Nannotrigona perilampoides (Cresson, 1878)",1922,1,5159
"Melissodes haitiensis LaBerge, 1961",1922,1,5160
"Bombus sushkini (Skorikov, 1931)",1922,1,5161
"Trigona ferricauda Cockerell, 1917",1922,1,5162
"Melipona titania Gribodo, 1893",1922,1,5163
"Agapostemon insularis Roberts, 1972",1922,1,5164
"Coelioxys eximius Friese, 1922",1922,1,5165
"Lithurgopsis antilleorum (Michener, 1989)",1922,1,5166
"Coelioxys oriplanes Moure, 1951",1922,1,5167
"Coelioxys auripes Friese, 1922",1922,1,5168
"Coelioxys lativalva Holmberg, 1903",1922,1,5169
"Exomalopsis pulchella Cresson, 1865",1922,1,5170
"Megachile japonica Alfken, 1903",1922,1,5171
"Coelioxys tenax Holmberg, 1888",1922,1,5172
"Megachile variabilis_unavailable (King, 1994)",1923,1,5173
"Ceratina australensis (Perkins, 1912)",1923,1,5174
"Euryglossa laevigata (Smith, 1879)",1923,1,5175
"Hylaeus philoleucus (Cockerell, 1910)",1923,1,5176
"Lasioglossum cephalochilum Michener, 1965",1923,1,5177
"Lasioglossum conspicuum (Smith, 1879)",1923,1,5178
"Austronomia musgravei (Cockerell, 1929)",1923,1,5179
"Austronomia ulongensis (Cockerell, 1929)",1923,1,5180
"Megachile captionis Cockerell, 1914",1923,1,5181
"Megachile semicandens Cockerell, 1910",1923,1,5182
"Megachile eucalypti Cockerell, 1910",1923,1,5183
"Melissodes pilleatus LaBerge, 1961",1923,1,5184
"Tetraloniella whiteheadi Eardley, 1989",1923,1,5185
"Bombus friseanus Skorikov, 1933",1923,1,5186
"Nomada besseyi Swenk, 1913",1923,1,5187
"Epeolus glabratus Cresson, 1878",1923,1,5188
"Triepeolus lectiformis (Cockerell, 1925)",1923,1,5189
"Paranomada velutina Linsley, 1939",1923,1,5190
"Xylocopa isabelleae Hurd, 1959",1923,1,5191
"Xylocopa haefligeri Friese, 1909",1923,1,5192
"Amegilla penicula Eardley, 1994",1923,1,5193
"Epeolus schummelii Schilling, 1849",1923,1,5194
"Ceratina gravidula Gerstäcker, 1869",1923,1,5195
"Lasioglossum halophitus (Graenicher, 1927)",1923,1,5196
"Lasioglossum denticolle (Morawitz, 1891)",1923,1,5197
"Sphecodes crawfordi Mitchell, 1956",1923,1,5198
"Agapostemon mexicanus Roberts, 1972",1923,1,5199
"Sphecodes arnoldi Blüthgen, 1928",1923,1,5200
"Austronomia zuala (Strand, 1911)",1923,1,5201
"Protandrena platycephalus (Ruz, 1990)",1923,1,5202
"Perdita timberlakei Cockerell, 1925",1923,1,5203
"Meganomia gigas Michener, 1981",1923,1,5204
"Meliturgula flavida (Friese, 1913)",1923,1,5205
"Andrena aberrans Eversmann, 1852",1923,1,5206
"Andrena nuptialis Pérez, 1902",1923,1,5207
"Colletes cercidii Timberlake, 1951",1923,1,5208
"Colletes banksi Swenk, 1908",1923,1,5209
"Hylaeus proteae Cockerell, 1942",1923,1,5210
"Colletes meridionalis Schrottky, 1902",1923,1,5211
"Hylaeus perkinsianus (Timberlake, 1926)",1923,1,5212
"Megachile admixta Cockerell, 1931",1923,1,5213
"Anthidium niveocinctum Gerstäcker, 1857",1923,1,5214
"Megachile integrella Mitchell, 1926",1923,1,5215
"Megachile rufoscopacea Friese, 1903",1923,1,5216
"Megachile regina Friese, 1903",1923,1,5217
"Anthidium soni Mavromoustakis, 1935",1923,1,5218
"Anthidiellum tegwaniense (Cockerell, 1914)",1923,1,5219
"Pseudoanthidium nigronitens (Pasteels, 1984)",1923,1,5220
"Bathanthidium sibiricum (Eversmann, 1852)",1923,1,5221
"Megachile giraudi Gerstäcker, 1869",1923,1,5222
"Megachile insolita (Pasteels, 1965)",1923,1,5223
"Lasioglossum brachycephalum (Cockerell, 1925)",1923,1,5224
"Geotrigona terricola Camargo and Moure, 1996",1923,1,5225
"Ceratina rectangulifera Schwarz and Michener, 1954",1923,1,5226
"Xylocopa amazonica Enderlein, 1913",1923,1,5227
"Melipona illota Cockerell, 1919",1923,1,5228
"Colletes bradleyi Mitchell, 1951",1923,1,5229
"Anthophora parkeri Orr, 2018",1923,1,5230
"Megachile neoxanthoptera Cockerell, 1933",1923,1,5231
"Osmia cornifrons (Radoszkowski, 1887)",1923,1,5232
"Paratetrapedia apicalis (Cresson, 1878)",1923,1,5233
"Ceratina nyassensis Strand, 1912",1923,1,5234
"Scaptotrigona subobscuripennis (Schwarz, 1951)",1923,1,5235
"Bombus securus (Frison, 1935)",1923,1,5236
"Exomalopsis compta Timberlake, 1980",1923,1,5237
"Xylocopa rufipes Smith, 1852",1923,1,5238
"Euglossa jamaicensis Moure, 1968",1923,1,5239
"Exomalopsis auropilosa Spinola, 1853",1923,1,5240
"Mesoplia rufipes (Perty, 1833)",1923,1,5241
"Xylocopa loripes Smith, 1874",1923,1,5242
"Bombus ladakhensis Richards, 1928",1923,1,5243
"Anthophora rufovestita Cockerell, 1947",1923,1,5244
"Anthophora hedini Alfken, 1936",1923,1,5245
"Sphecodopsis vespericena Eardley, 1997",1923,1,5246
"Nomada merceti Alfken, 1909",1923,1,5247
"Xylocopa cantabrita Lepeletier, 1841",1923,1,5248
"Habropoda mimetica Cockerell, 1927",1923,1,5249
"Lasioglossum extraordinarium (Kohl, 1908)",1923,1,5250
"Lasioglossum masaiense (Cockerell, 1945)",1923,1,5251
"Halictus cypricus Blüthgen, 1937",1923,1,5252
"Goniocolletes fimbriatinus (Cockerell, 1910)",1923,1,5253
"Hylaeus transversalis Cockerell, 1924",1923,1,5254
"Hylaeus tsingtauensis (Strand, 1915)",1923,1,5255
"Colletes anchusae Noskiewicz, 1924",1923,1,5256
"Megachile polita Cockerell, 1924",1923,1,5257
"Heriades longicornis Friese, 1915",1923,1,5258
"Dianthidium texanum (Cresson, 1878)",1923,1,5259
"Coelioxys insita Cresson, 1872",1923,1,5260
"Stelis costaricensis Friese, 1921",1923,1,5261
"Heriades wellmani Cockerell, 1908",1923,1,5262
"Megachile rhododendri Cockerell, 1927",1923,1,5263
"Lasioglossum ellipticeps (Blüthgen, 1923)",1923,1,5264
"Lasioglossum alinense (Cockerell, 1924)",1923,1,5265
"Lasioglossum upinense (Morawitz, 1890)",1923,1,5266
"Lasioglossum sulcatulum (Cockerell, 1925)",1923,1,5267
"Lasioglossum sibiriacum (Blüthgen, 1923)",1923,1,5268
