"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"South America","iNEXT",5277.448120341755,NA,5149.051113737684,5405.845126945826,"398458",4349,65.50988059824074
"Africa","iNEXT",6393.534265372674,NA,6222.367532543724,6564.700998201623,"253314",4976,87.33157046715702
"Asia","iNEXT",8275.37798747289,NA,8059.442481178272,8491.313493767508,"198602",6184,110.17320113935239
"Europe","iNEXT",3032.5994327830817,NA,2933.950257798993,3131.2486077671706,"3392451",2516,50.33213659139708
"North America","iNEXT",6395.065475849273,NA,6264.003822473616,6526.127129224929,"2771040",5526,66.86941923905448
"Oceania","iNEXT",2481.4484031239613,NA,2387.1452802898098,2575.751525958113,"270810",2049,48.114722300002725
"South America","iNEXT",5386.316222011556,NA,5245.043329315885,5527.589114707228,"398736",4349,72.07933095200428
"Africa","iNEXT",6413.540384605538,NA,6243.948757096788,6583.132012114288,"252623",4976,86.5279305367177
"Asia","iNEXT",8433.267136832703,NA,8204.849388496801,8661.684885168605,"201457",6184,116.54180900140607
"Europe","iNEXT",3118.5137756709823,NA,3016.615190539311,3220.412360802654,"3388386",2516,51.9900293757613
"North America","iNEXT",6436.389223672262,NA,6322.713180849028,6550.065266495497,"2770792",5526,57.99904677835756
"Oceania","iNEXT",2470.2437253203934,NA,2373.526413922757,2566.96103671803,"270428",2049,49.34647379264632
"South America","iNEXT",5494.664988203603,NA,5351.0056402988,5638.324336108405,"399335",4349,73.2969325140508
"Africa","iNEXT",6447.228352744084,NA,6288.172814985829,6606.283890502339,"252127",4976,81.15227576264914
"Asia","iNEXT",8374.735579277942,NA,8129.73395373933,8619.737204816553,"196356",6184,125.00312631821424
"Europe","iNEXT",3191.77645064907,NA,3070.9333789781513,3312.6195223199884,"3394206",2516,61.65576134261309
"North America","iNEXT",6452.1159802011625,NA,6309.801770000189,6594.430190402136,"2772818",5526,72.61062515614047
"Oceania","iNEXT",2391.2237309254074,NA,2314.3026940123013,2468.1447678385134,"269665",2049,39.246148153664755
"South America","iNEXT",5445.178067911183,NA,5317.616525087876,5572.739610734489,"393863",4349,65.08361573452166
"Africa","iNEXT",6386.661079137735,NA,6228.285506354057,6545.036651921413,"252467",4976,80.80534848238244
"Asia","iNEXT",8309.33552227106,NA,8091.503955068735,8527.167089473383,"197087",6184,111.14059692961264
"Europe","iNEXT",3002.0978566677913,NA,2912.0332377475565,3092.162475588026,"3391408",2516,45.95218056589461
"North America","iNEXT",6358.3453972426705,NA,6250.528420212069,6466.162374273272,"2773684",5526,55.009672565949096
"Oceania","iNEXT",2463.8469473419163,NA,2360.8043999021247,2566.889494781708,"269819",2049,52.57369433957875
"South America","iNEXT",5416.679546496526,NA,5283.113729262794,5550.245363730259,"395952",4349,68.14707733778923
"Africa","iNEXT",6312.756751199628,NA,6146.134094467982,6479.379407931273,"259386",4976,85.01312169302273
"Asia","iNEXT",8246.404209402144,NA,8038.89881657891,8453.909602225378,"203940",6184,105.87204380285037
"Europe","iNEXT",3092.0537093788867,NA,2977.745464240414,3206.361954517359,"3389919",2516,58.321604907090865
"North America","iNEXT",6396.196218444925,NA,6251.602423627962,6540.790013261888,"2777102",5526,73.77369990341685
"Oceania","iNEXT",2462.3785650513087,NA,2371.0221606555115,2553.734969447106,"266369",2049,46.61126689898635
"South America","iNEXT",5377.064207972917,NA,5233.051879230967,5521.076536714867,"405268",4349,73.47702808720008
"Africa","iNEXT",6313.064932440454,NA,6141.320887287042,6484.808977593866,"257150",4976,87.62612298394627
"Asia","iNEXT",8292.700859848828,NA,8105.018373163005,8480.383346534652,"202089",6184,95.75813033618972
"Europe","iNEXT",3131.2693838338246,NA,3036.0941623156905,3226.4446053519587,"3392091",2516,48.55967878433692
"North America","iNEXT",6367.785007093299,NA,6241.432875333209,6494.137138853389,"2772303",5526,64.4665579351148
"Oceania","iNEXT",2459.975208065571,NA,2367.858549444776,2552.0918666863663,"267542",2049,46.9991588352641
"South America","iNEXT",5380.699918504309,NA,5246.013971125411,5515.385865883206,"401412",4349,68.71858281135921
"Africa","iNEXT",6374.397873622183,NA,6206.99440979192,6541.801337452447,"254824",4976,85.41149998200014
"Asia","iNEXT",8299.873809208275,NA,8087.7091646645595,8512.038453751991,"196727",6184,108.24925672983997
"Europe","iNEXT",3141.013900256461,NA,3040.122104650782,3241.90569586214,"3392196",2516,51.47635181130906
"North America","iNEXT",6406.99379954616,NA,6265.43236147393,6548.55523761839,"2769543",5526,72.22655068605779
"Oceania","iNEXT",2401.132560922999,NA,2310.0313395277767,2492.233782318221,"266999",2049,46.48106909811457
"South America","iNEXT",5389.546142738339,NA,5254.9954229711675,5524.09686250551,"398663",4349,68.64958786410888
"Africa","iNEXT",6514.0686925182,NA,6346.949689583991,6681.187695452409,"256349",4976,85.26636420486406
"Asia","iNEXT",8332.952512727268,NA,8107.279961704776,8558.625063749761,"200415",6184,115.14117239019167
"Europe","iNEXT",3008.0329126452225,NA,2913.507251617226,3102.558573673219,"3388517",2516,48.22826428118222
"North America","iNEXT",6329.905960300296,NA,6203.668776283174,6456.143144317418,"2774964",5526,64.40791004980939
"Oceania","iNEXT",2446.244282781893,NA,2350.9857063361037,2541.5028592276826,"268422",2049,48.60220759012767
"South America","iNEXT",5419.179992458421,NA,5247.613816394197,5590.746168522645,"399720",4349,87.53537178107169
"Africa","iNEXT",6480.657321059662,NA,6306.676035553443,6654.63860656588,"255401",4976,88.76759311832282
"Asia","iNEXT",8438.049898765852,NA,8221.33824655434,8654.761550977364,"198545",6184,110.56920123068892
"Europe","iNEXT",3131.6351896151577,NA,3030.294859955712,3232.9755192746034,"3390737",2516,51.7051999214298
"North America","iNEXT",6362.544077205807,NA,6240.968372159726,6484.119782251889,"2774678",5526,62.02956074961339
"Oceania","iNEXT",2555.327229635302,NA,2456.4953697970036,2654.1590894736005,"268711",2049,50.42534486239113
"South America","iNEXT",5463.12927386417,NA,5318.081537086399,5608.17701064194,"397676",4349,74.00530720048347
"Africa","iNEXT",6300.684418769967,NA,6149.7322690258725,6451.636568514062,"257183",4976,77.01781815114256
"Asia","iNEXT",8275.833349172735,NA,8056.40581671469,8495.26088163078,"200336",6184,111.95487987986581
"Europe","iNEXT",3018.6173733262685,NA,2908.283569415388,3128.9511772371493,"3395118",2516,56.29379150901739
"North America","iNEXT",6367.523506014852,NA,6224.29622573232,6510.7507862973835,"2772649",5526,73.07648579886693
"Oceania","iNEXT",2468.0616894890445,NA,2371.0677367497924,2565.0556422282966,"268025",2049,49.48761992788034
"South America","iNEXT",5386.154511547134,NA,5243.5397174974205,5528.769305596847,"399130",4349,72.76398708070168
"Africa","iNEXT",6313.735612697942,NA,6145.788076547483,6481.683148848401,"256241",4976,85.6890930013041
"Asia","iNEXT",8201.659321282732,NA,7992.502555636573,8410.816086928891,"199242",6184,106.71459643950668
"Europe","iNEXT",3088.1300639888514,NA,2986.4931926235668,3189.766935354136,"3394036",2516,51.85649949028824
"North America","iNEXT",6355.412936220016,NA,6207.423581877561,6503.40229056247,"2773270",5526,75.5061600671111
"Oceania","iNEXT",2442.35964485033,NA,2352.282757858199,2532.4365318424607,"268275",2049,45.958439901266445
"South America","iNEXT",5379.2485653256845,NA,5233.778124206549,5524.71900644482,"399907",4349,74.22097664374826
"Africa","iNEXT",6361.5548185892785,NA,6181.482606305323,6541.627030873234,"252099",4976,91.87526592546693
"Asia","iNEXT",8275.807942538228,NA,8073.426821024095,8478.18906405236,"191774",6184,103.25757162401389
"Europe","iNEXT",3104.5079895805147,NA,2991.2577342530744,3217.758244907955,"3388369",2516,57.78180426821304
"North America","iNEXT",6311.614241669425,NA,6196.965318349324,6426.263164989526,"2771418",5526,58.495423499838296
"Oceania","iNEXT",2455.8084189085052,NA,2359.85508060673,2551.7617572102804,"267179",2049,48.95668443840951
"South America","iNEXT",5402.722712373489,NA,5260.857065001331,5544.588359745648,"396572",4349,72.38176236460295
"Africa","iNEXT",6292.663240148751,NA,6130.40364603457,6454.922834262933,"249307",4976,82.78702843218791
"Asia","iNEXT",8142.431123638201,NA,7915.37792750846,8369.484319767942,"194112",6184,115.84559610314669
"Europe","iNEXT",3044.5238616483884,NA,2937.421563522838,3151.626159773939,"3391913",2516,54.645033771212034
"North America","iNEXT",6379.887927388365,NA,6254.208000690911,6505.567854085819,"2773213",5526,64.12358986634513
"Oceania","iNEXT",2467.525224856724,NA,2363.22268710398,2571.8277626094678,"268139",2049,53.21655835284164
"South America","iNEXT",5328.687526716131,NA,5188.117774596514,5469.257278835748,"396109",4349,71.72057916799154
"Africa","iNEXT",6318.3615914996235,NA,6148.916931906073,6487.806251093174,"253678",4976,86.45294552864668
"Asia","iNEXT",8233.517591331703,NA,8063.865837199464,8403.169345463943,"195220",6184,86.5586079491412
"Europe","iNEXT",3171.021033351703,NA,3058.279491826303,3283.762574877103,"3392778",2516,57.522251640688744
"North America","iNEXT",6460.564678064742,NA,6334.238123236773,6586.891232892711,"2769778",5526,64.45350824015976
"Oceania","iNEXT",2429.1743934696674,NA,2347.849974930439,2510.4988120088956,"265726",2049,41.492812715287045
"South America","iNEXT",5368.084262945041,NA,5213.8732449310355,5522.295280959046,"399604",4349,78.68053659679573
"Africa","iNEXT",6364.438409392281,NA,6198.763922768299,6530.112896016262,"259445",4976,84.52935254463894
"Asia","iNEXT",8253.05752061193,NA,8032.447098577639,8473.667942646221,"203373",6184,112.55840605972266
"Europe","iNEXT",3068.937910340319,NA,2959.9788072055658,3177.897013475072,"3391131",2516,55.59240067379232
"North America","iNEXT",6366.001117317435,NA,6239.283298268055,6492.718936366816,"2771028",5526,64.65313651113722
"Oceania","iNEXT",2421.751532754566,NA,2335.32767468932,2508.1753908198125,"264660",2049,44.094615384234984
"South America","iNEXT",5411.913832919446,NA,5245.127230544477,5578.700435294414,"403848",4349,85.09676896645036
"Africa","iNEXT",6328.9603834233785,NA,6168.809644265176,6489.111122581581,"256330",4976,81.71106225494515
"Asia","iNEXT",8230.759776102572,NA,8003.5940864907225,8457.925465714421,"199690",6184,115.90299179153462
"Europe","iNEXT",3085.1521926786727,NA,2975.334673506998,3194.9697118503473,"3391115",2516,56.030376087469556
"North America","iNEXT",6383.46920302519,NA,6252.367943501347,6514.5704625490325,"2773457",5526,66.88962682883596
"Oceania","iNEXT",2502.8683027440597,NA,2405.269694652561,2600.4669108355583,"267414",2049,49.79612322539801
"South America","iNEXT",5420.113060653213,NA,5263.64725549853,5576.578865807896,"399657",4349,79.8309593384702
"Africa","iNEXT",6220.007913341712,NA,6065.4796096582495,6374.536217025175,"255643",4976,78.8424200150422
"Asia","iNEXT",8152.502187720292,NA,7949.128051052739,8355.876324387846,"198555",6184,103.76422131821978
"Europe","iNEXT",3067.357267071432,NA,2954.650109121292,3180.064425021572,"3389893",2516,57.50470867789386
"North America","iNEXT",6346.001205917162,NA,6211.22655020082,6480.775861633504,"2774171",5526,68.76384299886486
"Oceania","iNEXT",2498.3190779968468,NA,2395.79759717931,2600.8405588143837,"267976",2049,52.30783913695013
"South America","iNEXT",5299.393440534337,NA,5162.246999272348,5436.539881796326,"397190",4349,69.97395990119338
"Africa","iNEXT",6343.708353722586,NA,6173.831324501106,6513.585382944067,"257017",4976,86.67354633118198
"Asia","iNEXT",8290.223808839279,NA,8098.5760138026435,8481.871603875914,"198575",6184,97.78128401762922
"Europe","iNEXT",3083.6541804731855,NA,2973.6142662292036,3193.6940947171674,"3391960",2516,56.14384504611449
"North America","iNEXT",6352.759935779696,NA,6215.021586682876,6490.498284876517,"2773075",5526,70.27595924378357
"Oceania","iNEXT",2481.9802053222875,NA,2383.727277677246,2580.233132967329,"268456",2049,50.12996586674448
"South America","iNEXT",5353.694742314471,NA,5208.249085550615,5499.140399078327,"401014",4349,74.20833133216381
"Africa","iNEXT",6305.706702098685,NA,6145.503663255904,6465.909740941466,"252221",4976,81.73774625780997
"Asia","iNEXT",8187.05375223767,NA,7984.149005042169,8389.95849943317,"196923",6184,103.52473249303954
"Europe","iNEXT",3043.003993897265,NA,2945.4505746080054,3140.5574131865246,"3389523",2516,49.77306729039339
"North America","iNEXT",6357.39119594189,NA,6227.947812866708,6486.834579017072,"2774456",5526,66.043755954811
"Oceania","iNEXT",2444.8153789316166,NA,2353.834830455625,2535.7959274076084,"267167",2049,46.41950015083683
"South America","iNEXT",5417.394759928591,NA,5274.45519494657,5560.334324910612,"394897",4349,72.92968958078305
"Africa","iNEXT",6270.7530440113305,NA,6114.9223973195185,6426.583690703143,"257894",4976,79.50689294343383
"Asia","iNEXT",8216.403525926693,NA,8007.307346981766,8425.49970487162,"206675",6184,106.68368428922706
"Europe","iNEXT",3098.605332880648,NA,2997.43712236223,3199.7735433990656,"3393031",2516,51.61738241948305
"North America","iNEXT",6392.632523929773,NA,6277.322052672164,6507.942995187382,"2778639",5526,58.8329541599555
"Oceania","iNEXT",2486.1108705275597,NA,2397.7540415184412,2574.467699536678,"268254",2049,45.08084317164287
"South America","iNEXT",5344.2416678099635,NA,5194.277933444133,5494.205402175794,"399525",4349,76.51351532412095
"Africa","iNEXT",6469.74105002832,NA,6281.196089050291,6658.286011006349,"250691",4976,96.19817632632414
"Asia","iNEXT",8391.388899933168,NA,8197.96017698242,8584.817622883917,"194180",6184,98.68993740522238
"Europe","iNEXT",3010.051507108511,NA,2918.0222163899616,3102.0807978270605,"3388928",2516,46.95458255583508
"North America","iNEXT",6387.196435146685,NA,6260.921146787799,6513.4717235055705,"2774336",5526,64.4273513977445
"Oceania","iNEXT",2381.9744320365303,NA,2312.2857532818707,2451.66311079119,"267743",2049,35.55610169592656
"South America","iNEXT",5478.373358532805,NA,5307.189671727175,5649.557045338434,"398799",4349,87.34022061420768
"Africa","iNEXT",6387.24355623028,NA,6215.405673066175,6559.081439394385,"251791",4976,87.67400039977274
"Asia","iNEXT",8367.999437687173,NA,8166.810045082652,8569.188830291692,"195729",6184,102.64953549732334
"Europe","iNEXT",3091.156218129224,NA,2979.424377867464,3202.8880583909836,"3392533",2516,57.0070884685057
"North America","iNEXT",6431.3466428584425,NA,6296.871462338226,6565.821823378659,"2770013",5526,68.6110467237867
"Oceania","iNEXT",2397.270444059618,NA,2319.523608000749,2475.017280118487,"268921",2049,39.66748199054996
"South America","iNEXT",5398.885228009533,NA,5248.718458287299,5549.051997731768,"400345",4349,76.61710669518983
"Africa","iNEXT",6555.980426910598,NA,6379.959021912844,6732.001831908352,"251782",4976,89.80848953663863
"Asia","iNEXT",8459.257226785174,NA,8233.678074877998,8684.83637869235,"196306",6184,115.09351890469163
"Europe","iNEXT",3109.437858946211,NA,2998.6901449584134,3220.185572934008,"3386395",2516,56.504974000216976
"North America","iNEXT",6403.5127648100315,NA,6253.102769538196,6553.922760081867,"2771806",5526,76.74120364366392
"Oceania","iNEXT",2371.2236580040444,NA,2287.270120944442,2455.1771950636466,"266363",2049,42.834224364231716
"South America","iNEXT",5573.392032299168,NA,5407.633467156261,5739.150597442075,"396289",4349,84.57225053643313
"Africa","iNEXT",6234.015109777243,NA,6068.83677307446,6399.193446480026,"255577",4976,84.27621017819132
"Asia","iNEXT",8110.358607691405,NA,7909.955754005834,8310.761461376977,"201682",6184,102.24823275648096
"Europe","iNEXT",3020.6147447983217,NA,2924.3991195120507,3116.8303700845927,"3390803",2516,49.09050678747549
"North America","iNEXT",6322.876133219934,NA,6194.433538181236,6451.318728258631,"2774305",5526,65.53314043106734
"Oceania","iNEXT",2485.5727638563667,NA,2381.027404902523,2590.1181228102105,"266057",2049,53.340448997269476
"South America","iNEXT",5349.107077565945,NA,5218.063641695917,5480.150513435972,"398216",4349,66.86012442253103
"Africa","iNEXT",6375.00107204831,NA,6226.376650902132,6523.625493194488,"252052",4976,75.83017969641716
"Asia","iNEXT",8233.815259624185,NA,8043.270823219236,8424.359696029134,"197757",6184,97.21833559592893
"Europe","iNEXT",3094.2843123099383,NA,2973.2937080936003,3215.2749165262762,"3392719",2516,61.73103443262041
"North America","iNEXT",6317.600822476247,NA,6196.215559647757,6438.986085304738,"2772130",5526,61.93239456743177
"Oceania","iNEXT",2465.7285463159847,NA,2372.1198948485057,2559.3371977834636,"265887",2049,47.76039366327751
"South America","iNEXT",5331.719766791708,NA,5185.496112959652,5477.943420623764,"400224",4349,74.60527590580712
"Africa","iNEXT",6408.8787693943395,NA,6232.003135639451,6585.754403149228,"253486",4976,90.24432854382066
"Asia","iNEXT",8356.55721674411,NA,8128.657431838942,8584.457001649276,"200309",6184,116.27753708885015
"Europe","iNEXT",3068.640187926956,NA,2958.7107615419927,3178.5696143119194,"3391467",2516,56.08747265361642
"North America","iNEXT",6316.027804941876,NA,6205.37418183426,6426.681428049492,"2772556",5526,56.4569675669746
"Oceania","iNEXT",2459.2257272658776,NA,2361.1837533347243,2557.267701197031,"265440",2049,50.02233444313053
"South America","iNEXT",5433.515793857761,NA,5293.62293537901,5573.408652336512,"398038",4349,71.3752189235149
"Africa","iNEXT",6330.441948239693,NA,6199.857684849794,6461.026211629593,"258440",4976,66.62584844412002
"Asia","iNEXT",8235.538701096459,NA,8006.09564060762,8464.981761585297,"201316",6184,117.06493705938277
"Europe","iNEXT",3055.280578727991,NA,2955.888478234365,3154.672679221617,"3392195",2516,50.71118718385554
"North America","iNEXT",6294.732409688125,NA,6172.77019844601,6416.69462093024,"2772281",5526,62.2267614120143
"Oceania","iNEXT",2403.2980662941295,NA,2302.9813132886875,2503.6148192995715,"265412",2049,51.18295733836326
"South America","iNEXT",5364.563918502487,NA,5216.668725953885,5512.459111051088,"405154",4349,75.45811745275941
"Africa","iNEXT",6327.135278416577,NA,6159.843338940422,6494.427217892733,"257632",4976,85.35459875575938
"Asia","iNEXT",8217.146148840213,NA,8025.156035706199,8409.136261974227,"200507",6184,97.95593931746065
"Europe","iNEXT",3087.2785198539495,NA,2987.368683742314,3187.1883559655853,"3386948",2516,50.97534286329331
"North America","iNEXT",6359.600872268334,NA,6238.105645416381,6481.0960991202865,"2771721",5526,61.98849969197989
"Oceania","iNEXT",2426.1890650406285,NA,2339.0264812555447,2513.3516488257123,"267293",2049,44.47152318747242
"South America","iNEXT",5338.105763819574,NA,5206.181116367652,5470.030411271497,"401866",4349,67.30973043001153
"Africa","iNEXT",6345.179626817002,NA,6157.829339971447,6532.529913662557,"252031",4976,95.5886375072963
"Asia","iNEXT",8278.172247106822,NA,8097.530417551113,8458.814076662533,"194637",6184,92.1658923228132
"Europe","iNEXT",3018.0733212130713,NA,2919.0117258832784,3117.134916542864,"3388389",2516,50.54255900168481
"North America","iNEXT",6367.5378062214,NA,6249.622450171127,6485.453162271674,"2772461",5526,60.162001434911545
"Oceania","iNEXT",2380.292880667249,NA,2295.4187850942126,2465.1669762402853,"267825",2049,43.303905705672356
"South America","iNEXT",5371.875624477218,NA,5223.6737252960365,5520.077523658399,"398662",4349,75.61460330402943
"Africa","iNEXT",6240.429386294443,NA,6078.675322158943,6402.183450429943,"256360",4976,82.5291002341856
"Asia","iNEXT",8164.610822491811,NA,7946.361208155276,8382.860436828347,"198488",6184,111.3538902031166
"Europe","iNEXT",3140.506825163524,NA,3019.7846147977116,3261.229035529336,"3390701",2516,61.59409627832641
"North America","iNEXT",6407.310891333367,NA,6276.630855733142,6537.990926933592,"2770494",5526,66.67471271462765
"Oceania","iNEXT",2467.024886710669,NA,2392.9234682772753,2541.1263051440624,"263926",2049,37.80754086192199
"South America","iNEXT",5324.2412120091685,NA,5181.79729396037,5466.685130057967,"400190",4349,72.67680384556981
"Africa","iNEXT",6328.824110156487,NA,6181.480353197886,6476.1678671150885,"254230",4976,75.176767594114
"Asia","iNEXT",8178.933779595687,NA,7965.665533555178,8392.202025636198,"194713",6184,108.81232906458645
"Europe","iNEXT",3087.8526451644193,NA,2991.2758980484646,3184.429392280374,"3389995",2516,49.274756004569376
"North America","iNEXT",6333.4717674912235,NA,6218.288971649681,6448.654563332766,"2771653",5526,58.76781244456003
"Oceania","iNEXT",2427.085005283074,NA,2341.421473870143,2512.7485366960054,"267299",2049,43.706686494565325
"South America","iNEXT",5370.419982915689,NA,5246.243203378822,5494.596762452556,"397698",4349,63.3566639572755
"Africa","iNEXT",6324.705705180364,NA,6135.770508682716,6513.640901678012,"252091",4976,96.39727973980361
"Asia","iNEXT",8204.229457503476,NA,7995.801952070748,8412.656962936204,"199255",6184,106.34251806501435
"Europe","iNEXT",3089.34171130618,NA,2981.8781994286755,3196.8052231836846,"3391839",2516,54.8293298882852
"North America","iNEXT",6457.804577366398,NA,6322.669677525783,6592.939477207013,"2773820",5526,68.94764439884692
"Oceania","iNEXT",2421.344330044298,NA,2341.6574429752013,2501.031217113395,"268989",2049,40.657322123088434
"South America","iNEXT",5357.517973715015,NA,5210.487666005788,5504.548281424241,"399031",4349,75.01684156902016
"Africa","iNEXT",6323.5548291298255,NA,6182.43311407943,6464.676544180221,"252335",4976,72.00219808299818
"Asia","iNEXT",8276.230099610606,NA,8063.7625718797135,8488.697627341498,"194843",6184,108.40379180781345
"Europe","iNEXT",3064.418248199375,NA,2953.199295439442,3175.637200959308,"3388594",2516,56.74540636318522
"North America","iNEXT",6345.001141240079,NA,6200.483043153607,6489.5192393265515,"2771189",5526,73.73507841287537
"Oceania","iNEXT",2482.3185050669936,NA,2389.8728676155347,2574.7641425184524,"267997",2049,47.167008261712105
"South America","iNEXT",5433.1043281604925,NA,5308.057738359591,5558.150917961394,"397429",4349,63.80045285895716
"Africa","iNEXT",6312.105443980625,NA,6167.688541650055,6456.522346311194,"252369",4976,73.68344697642996
"Asia","iNEXT",8358.38888116179,NA,8162.3550663200585,8554.422696003523,"195560",6184,100.01909034452777
"Europe","iNEXT",3090.071579574581,NA,2974.001042347538,3206.142116801624,"3390768",2516,59.220750045711426
"North America","iNEXT",6423.958978332324,NA,6289.729463164939,6558.188493499708,"2771537",5526,68.48570495487144
"Oceania","iNEXT",2531.651319683674,NA,2420.1599830329646,2643.1426563343834,"267351",2049,56.88438028970883
"South America","iNEXT",5357.992871844322,NA,5198.957415360465,5517.028328328178,"397086",4349,81.14203002621869
"Africa","iNEXT",6436.832771546089,NA,6267.67050362505,6605.995039467129,"255551",4976,86.30886549720809
"Asia","iNEXT",8314.074421327754,NA,8103.597998900619,8524.550843754889,"199614",6184,107.38790308768225
"Europe","iNEXT",3038.592059036707,NA,2930.366329447589,3146.8177886258245,"3391737",2516,55.21822362185656
"North America","iNEXT",6325.1464351909835,NA,6201.019294745919,6449.273575636048,"2770431",5526,63.33133742464839
"Oceania","iNEXT",2455.172243156165,NA,2364.8985150680837,2545.4459712442467,"264207",2049,46.0588708772963
"South America","iNEXT",5478.826417543048,NA,5323.337404995488,5634.315430090607,"400537",4349,79.33258660569123
"Africa","iNEXT",6603.3232767581585,NA,6404.795175361957,6801.85137815436,"252183",4976,101.29170891004408
"Asia","iNEXT",8485.8634412624815,NA,8269.951140901958,8701.775741623005,"196266",6184,110.161361159497
"Europe","iNEXT",2994.1631655502447,NA,2913.643380734057,3074.6829503664326,"3393603",2516,41.0822777618965
"North America","iNEXT",6398.213549645443,NA,6275.608969882382,6520.818129408504,"2771913",5526,62.55450647570601
"Oceania","iNEXT",2424.4652870809587,NA,2326.142934134341,2522.7876400275763,"272159",2049,50.165387589859755
"South America","iNEXT",5519.752506464656,NA,5373.226067616696,5666.278945312616,"394461",4349,74.75976089547659
"Africa","iNEXT",6399.342029096169,NA,6231.144301521503,6567.539756670836,"248635",4976,85.81674403274192
"Asia","iNEXT",8404.405172398918,NA,8184.219183877773,8624.591160920063,"193176",6184,112.34185436974569
"Europe","iNEXT",3085.878092734522,NA,2985.0317537240844,3186.7244317449595,"3389408",2516,51.45315924471093
"North America","iNEXT",6364.406042052017,NA,6240.947914046029,6487.864170058006,"2772885",5526,62.98999827538175
"Oceania","iNEXT",2439.010463966075,NA,2356.18533988091,2521.83558805124,"270692",2049,42.258492879705486
"South America","iNEXT",5465.112904223245,NA,5327.521323843458,5602.704484603032,"393481",4349,70.20107586929755
"Africa","iNEXT",6384.69334850731,NA,6235.679884935598,6533.706812079021,"249409",4976,76.02867437723884
"Asia","iNEXT",8305.412772259577,NA,8092.222483579552,8518.6030609396,"194595",6184,108.77255417019974
"Europe","iNEXT",3111.035860544591,NA,2994.580896283612,3227.4908248055694,"3390684",2516,59.416889891630944
"North America","iNEXT",6308.05085461052,NA,6193.5694551152155,6422.532254105825,"2775661",5526,58.40995059007175
"Oceania","iNEXT",2440.5363223777326,NA,2352.4853196490226,2528.5873251064427,"266657",2049,44.9248064878973
"South America","iNEXT",5403.261232594127,NA,5247.44731687099,5559.075148317264,"392324",4349,79.49835657806851
"Africa","iNEXT",6353.124625897272,NA,6192.574055306774,6513.67519648777,"258739",4976,81.91506163220366
"Asia","iNEXT",8266.521982645472,NA,8071.185138619021,8461.858826671923,"202253",6184,99.66348645548764
"Europe","iNEXT",3067.607133427514,NA,2945.804788247188,3189.40947860784,"3390129",2516,62.14519559598412
"North America","iNEXT",6391.1950900294705,NA,6269.6335072464235,6512.7566728125175,"2770670",5526,62.02235538097093
"Oceania","iNEXT",2475.6098781375813,NA,2371.9927804080544,2579.226975867108,"268845",2049,52.866837629081644
"South America","iNEXT",5373.102172274146,NA,5229.066852461538,5517.137492086755,"404208",4349,73.48875844083913
"Africa","iNEXT",6423.420478248239,NA,6235.9823343102835,6610.858622186195,"256700",4976,95.63346337812534
"Asia","iNEXT",8301.222451123336,NA,8111.042389025515,8491.402513221157,"200162",6184,97.03242692107466
"Europe","iNEXT",3101.2901500409107,NA,2993.4564970957426,3209.1238029860788,"3392206",2516,55.018180841967606
"North America","iNEXT",6345.1997046302595,NA,6229.5839632285715,6460.815446031947,"2773473",5526,58.98870709546206
"Oceania","iNEXT",2441.9086421846896,NA,2350.3294827868704,2533.487801582509,"267254",2049,46.72491949861528
"South America","iNEXT",5493.973779676554,NA,5344.960267058043,5642.987292295064,"400925",4349,76.0286994015758
"Africa","iNEXT",6301.31333143965,NA,6144.501157258417,6458.125505620883,"253386",4976,80.0076814768778
"Asia","iNEXT",8162.055089060037,NA,7935.105197640719,8389.004980479354,"196388",6184,115.79288864972476
"Europe","iNEXT",3024.2973706530056,NA,2932.555162350992,3116.0395789550194,"3388466",2516,46.808109243672135
"North America","iNEXT",6345.291371080671,NA,6225.42081905146,6465.161923109881,"2771754",5526,61.159568734290126
"Oceania","iNEXT",2523.38058771215,NA,2415.653585180447,2631.107590243853,"268737",2049,54.963766365831134
"South America","iNEXT",5340.311128562729,NA,5219.116968380141,5461.505288745318,"395292",4349,61.83489142583866
"Africa","iNEXT",6430.118776290719,NA,6258.274683020545,6601.9628695608935,"250964",4976,87.67716887945826
"Asia","iNEXT",8317.71223477085,NA,8101.936953367667,8533.487516174033,"193925",6184,110.09145224360793
"Europe","iNEXT",3084.271984199108,NA,2973.217553940784,3195.326414457432,"3388631",2516,56.66146476889735
"North America","iNEXT",6405.059923877102,NA,6278.320796986576,6531.799050767628,"2772302",5526,64.66400805842754
"Oceania","iNEXT",2484.659186517604,NA,2391.80190019161,2577.5164728435984,"266917",2049,47.37703705702792
"South America","iNEXT",5420.886578021435,NA,5266.327586098565,5575.445569944304,"397089",4349,78.858077567757
